Number,Class,Target,Radius_A,Radius_B,Za,Zb,TF,aO3,rc,A_ionic,B_ionic,R_a/R_b,Mass,A_aff,B_aff,A_Tm,B_Tm,A_Tb,B_Tb,A_Hfus,B_Hfus,A_Density,B_Density
1,0,-14,136,72,0.89,1.33,0.920572979,172.93744,76.49947222,5.2117,6.6339,1.888888889,276.52,14,41.1,727,1854,1879,4409,51.8,230.2,3.62,6.52
2,0,-12.37,99,120,1.13,1.81,0.64999431,285.79305,102.0468731,5.473,5.9993,0.825,258.62,47,29,931,29.767,3520,2204,48.9,80,6.77,5.91
3,0,-10.87,118,64,0.95,1.485,0.894282106,153.9135693,67.11271656,5.6949,6.273635,1.84375,171.59,4.7,30.35,777,1100.66,1382,2677.5,84.8,356.95,2.64,2.845
4,0,-10.82,88.12,53.5,1.09,1.61,0.833618599,128.8658213,53.0139192,6.24006,5.98577,1.647102804,234.688,42.48,42.6,821.3,660.32,1224.8,2519,61.18,399.9,6.364,2.7
5,0,-10.27,118,65.55,0.95,1.471,0.887538553,157.5700768,67.84398866,5.6949,6.239195,1.800152555,175.985,4.7,31.5,777,1098.76,1382,2728.4,84.8,338.35,2.64,2.993
6,0,-10.11,118,64.775,0.95,1.478,0.890897568,155.741823,67.47613321,5.6949,6.256415,1.821690467,173.7875,4.7,30.925,777,1099.71,1382,2702.95,84.8,347.65,2.64,2.919
8,0,-9.42,102.07,53.5,1.115,1.61,0.884596065,129.0040811,57.23445805,5.49367,5.98577,1.907850467,218.49,43.7,42.6,991.6,660.32,2954.5,2519,49.73,399.9,6.671,2.7
9,0,-8.98,121.6,64,0.938,1.485,0.906760461,153.9443458,68.25641217,5.59826,6.273635,1.9,181.526,6.56,30.35,767,1100.66,1481.4,2677.5,78.2,356.95,2.836,2.845
10,0,-8.84,118,65.025,0.95,1.487,0.88981124,156.3315823,67.5943133,5.6949,6.4440565,1.814686659,173.5105,4.7,25.32,777,1088.6205,1382,2596.9,84.8,342.36,2.64,3.067
11,0,-8.73,118,64.925,0.95,1.47,0.890245453,156.0956786,67.54698593,5.6949,6.3566585,1.81748171,171.4565,4.7,26.27,777,1100.144,1382,2606.05,84.8,354.4,2.64,2.797
12,0,-8.73,118,66.775,0.95,1.44,0.882280496,160.4598972,68.43438882,5.6949,6.5227055,1.767128416,171.1895,4.7,18.11,777,1099.112,1382,2463.15,84.8,349.3,2.64,2.701
13,0,-8.57,98.47,55.55,1.126,1.614,0.862305058,133.8041352,57.07036238,5.583816,6.326613,1.772637264,212.609,42.48,32.54,1003.1,636.241,2915,2357.8,65.86,370.72,6.463,3.144
14,0,-8.57,118,66.05,0.95,1.489,0.885384856,158.7495953,68.08365077,5.6949,6.614478,1.78652536,175.431,4.7,20.29,777,1076.581,1382,2516.3,84.8,327.77,2.64,3.289
15,0,-8.54,110.6,98.4,1.025,1.594,0.743292615,234.9872696,85.86143837,5.6359,6.28487,1.12398374,240.655,25,34.445,847.5,850.67185,2423,3196.25,64.7,147.59,4.395,6.1845
16,0,-8.52,100,60.5,1,1.54,0.846412107,145.4920848,60.00880074,6.11316,6.8281,1.652892562,135.96,1.8,7.6,842,1670,1484,3287,213.1,295.6,1.54,4.51
17,0,-8.36,102.07,120,1.115,1.81,0.65834361,285.8320727,102.0338233,5.49367,5.9993,0.850583333,261.23,43.7,29,991.6,29.767,2954.5,2204,49.73,80,6.671,5.91
18,0,-8.11,98.47,55.35,1.126,1.58,0.863187889,133.3325073,56.97330287,5.583816,6.151817,1.779042457,208.501,42.48,34.44,1003.1,659.288,2915,2376.1,65.86,394.8,6.463,2.604
19,0,-8.04,136,73.6,0.89,1.42,0.913677302,176.7130434,77.2336244,5.2117,6.464392,1.847826087,281.116,14,38.68,727,1514.52,1879,3941.6,51.8,189.88,3.62,6.678
20,0,-7.94,118,65.85,0.95,1.455,0.886245079,158.2777879,67.98756703,5.6949,6.439682,1.791951405,171.323,4.7,22.19,777,1099.628,1382,2534.6,84.8,351.85,2.64,2.749
21,0,-7.92,98.47,55.35,1.126,1.582,0.863187889,133.3325073,56.97330287,5.583816,6.050583,1.779042457,215.192,42.48,42.45,1003.1,779.688,2915,2708,65.86,382.93,6.463,3.082
