number,Target,R_a/R_b,TF,aO3,A_Tb,Radius_B
1,-12.37,0.825,0.64999431,285.79305,3520,120
2,-5.12,1.672240803,0.849377515,143.8413344,1484,59.8
3,-1.52,0.965793304,0.696468491,262.1087697,3047.6,109.92
4,-8.36,0.850583333,0.65834361,285.8320727,2954.5,120
5,-6.31,1.734693878,0.893596482,188.0398533,1879,78.4
6,-4.79,0.854774306,0.660751388,274.4671429,2915,115.2
7,-8.54,1.12398374,0.743292615,234.9872696,2423,98.4
8,-3.91,1.38989899,0.802652832,177.9507627,3464,74.25
9,-8.73,1.81748171,0.890245453,156.0956786,1382,64.925
10,-5.89,0.887333333,0.670337229,285.8864271,3305.5,120
11,-3.91,1.5625,0.831890331,153.7458369,1484,64
12,-2.26,0.947695035,0.690603893,268.9099839,2943.5,112.8
13,-2.1,0.941134752,0.68853404,268.901278,3047.6,112.8
14,-8.11,1.779042457,0.863187889,133.3325073,2915,55.35
15,-8.04,1.847826087,0.913677302,176.7130434,1879,73.6
16,-7.29,1.326699834,0.787954161,180.5705313,1484,75.375
17,-7.21,1.827956989,0.910268058,178.600845,1879,74.4
18,0.04,0.990298507,0.704131898,255.6936231,3047.6,107.2
19,-4.14,1.633986928,0.843467333,147.1428353,1484,61.2
20,-3.85,0.837329932,0.654595319,280.1266772,2915,117.6
21,-7.71,1.874205607,0.878018327,128.9871432,2904.8,53.5
22,-2.15,0.928014184,0.684394332,268.8837081,3255.8,112.8
23,-1.57,0.974727419,0.699287522,259.7325711,3047.6,108.9125
24,-4.96,1.891237579,0.885666175,133.3913128,3255.8,55.35
25,-6.52,1.637073982,0.842486905,144.6515759,2915,60.15
26,-5.3,1.63733115,0.843991682,146.8480584,1484,61.075
27,-5.48,0.820583333,0.6485529,285.7862115,2915,120
28,-3.62,0.841836735,0.656050158,280.1334526,3520,117.6
29,-1.93,0.963120889,0.695619563,262.8281152,3047.6,110.225
30,-4.61,1.047348485,0.721502278,251.970006,2423,105.6
31,-2.03,0.934574468,0.686464186,268.8925195,3151.7,112.8
32,-1.43,0.971449488,0.6982566,260.5993235,3047.6,109.28
